RoadSurfaceCondition,EventHitandRun,EventLocationOnRoadway,EventWeatherCondition,EventWorkZone,PedestrianInvolved,BicycleInvolved,Intoxication,Speeding,DisregardControl,NightTime,HeavyTruck,MotorCycle,AnimalInvolved,ElectronicDistraction,Driver1Sex,Driver1Condition,Driver1AlcoholUse,Driver1DrugUse,PropertyDamageAmount,HighestSeverity,Vehicle1Damage
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,25000
,,,,,,,,,,,,,,,,,,,,,5500
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,25000
,,,,,,,,,,,,,,,,,,,,,2000
,,,,,,,,,,,,,,,,,,,,,6000
,,,,,,,,,,,,,,,,,,,,,55000
,,,,,,,,,,,,,,,,,,,,,1000
,,,,,,,,,,,,,,,,,,,,,3500
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,3500
,,,,,,,,,,,,,,,,,,,,,7000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,2000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,1000
,,,,,,,,,,,,,,,,,,,,,1000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,20000
,,,,,,,,,,,,,,,,,,,,,4000
,,,,,,,,,,,,,,,,,,,,,2000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,3500
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,4000
,,,,,,,,,,,,,,,,,,,,,1500
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,2000
,,,,,,,,,,,,,,,,,,,,,4000
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,15000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,6000
,,,,,,,,,,,,,,,,,,,,,9000
,,,,,,,,,,,,,,,,,,,,,25000
,,,,,,,,,,,,,,,,,,,,,75000
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,300
,,,,,,,,,,,,,,,,,,,,,4000
,,,,,,,,,,,,,,,,,,,,,2500
,,,,,,,,,,,,,,,,,,,,,12000
,,,,,,,,,,,,,,,,,,,,,1000
,,,,,,,,,,,,,,,,,,,,,1500
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,8500
,,,,,,,,,,,,,,,,,,,,,12000
,,,,,,,,,,,,,,,,,,,,,6000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,9000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,3000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,3000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,4000
,,,,,,,,,,,,,,,,,,,,,15000
,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,6000
,,,,,,,,,,,,,,,,,,,,,2000
